code,num
C1072,723.5
C1128,1242.52
C1456,486.64
C1840,545.85
C1332,1072.3
C1563,1583.99
C1794,935.63
C1640,537.49
C1377,373.41
C2072,259.75
C1472,497.9
C1006,253.33
C1083,443.36
C1311,255.78
C2676,262.13
C2318,362.08
C1603,445.23
C2523,300.46
C2177,185.84
C2411,638.17
C2033,219.6
C1604,544.52
C2535,577.01
C1040,501.28
C2417,441.28
C1812,138.9
C2253,126.8
C1294,583.18
C1772,530.68
C2646,550.61
C1152,952.95
C2423,141.71
C1844,411.1
C1318,243.37
C1729,84.63
C1602,273.65
C1239,427.78
C1721,597.14
C1902,728.02
C1855,310.11
C2600,452.19
C1071,524.51
C2295,522.62
C1621,513.56
C1852,715.4
C2555,1160.87
C1297,447.26
C2323,603.6
C2215,407.78
C2112,379.71
C1830,712.22
C2602,292.53
C2608,1091.83
C1215,684.49
C2369,631.82
C1158,316.67
C1887,524.5
C1189,279.92
C1637,464.34
C1225,108.98
C2374,397.12
C2397,577.94
C1105,968.89
C1782,506.38
C1629,83.79
C1708,281.44
C2144,649.21
C1617,1129.11
C1149,612.03
C1323,438.18
C1064,665.04
C1019,295.43
C2269,545.03
C1416,760.49
C1250,869.97
C1741,479.69
C1016,717.47
C2675,921.07
C2436,779.73
C2039,765.36
C1253,646.21
C2028,1231.36
C1166,327.32
C1135,254.15
C1216,313.16
C1593,211.56
C1826,254.98
C1827,448.14
C1564,278.96
C1495,1021.46
C2653,929.32
C1392,619.27
C2128,285.46
C1282,523.34
C1521,1106.29
C2076,947.83
C1060,605.26
C2473,1034.66
C2557,865.01
C1835,828.48
C2224,814.35
C2222,422.37
C2430,744.6
C2497,628.68
C1494,930.72
C1457,513.35
C1525,1149.89
C1712,598.5
C2267,920.23
C1623,291.89
C2131,550.35
C2691,1037.1
C1147,799.4
C1692,855.46
C1570,891.98
C1474,128.44
C1633,157.58
C2113,558.46
C2175,846.97
C2303,1299.14
C2547,566.85
C2292,772.36
C1496,675.82
C1289,420.78
C1849,643.55
C1003,286.95
C2268,500.36
C2551,677.85
C2688,79.08
C1030,27.21
C1327,83.67
C2451,530.81
C1749,576.88
C1349,269.72
C2043,250.58
C1229,248.72
C2363,462.99
C1414,465.63
C2174,528.91
C2091,108.13
C2335,729.26
C1841,66.9
C2404,123.47
C1683,249.8
C1038,355.26
C2456,275.15
C1266,489.46
C2152,32.8
C1267,429.75
C2189,245.38
